	pct_60_ncorr_1_pos_(22.0, 33.0)	pct_60_ncorr_1_pos_(22.0, 33.0)
	1	2
ctr	0.00038381	0.00038515
sn	NaN	NaN
flux	4.24311394	4.25790824
	pct_60_ncorr_2_pos_(22.0, 33.0)	pct_60_ncorr_2_pos_(22.0, 33.0)
	1	2
ctr	0.00035103	0.00034198
sn	NaN	NaN
flux	3.88068108	3.78066888
	pct_120_ncorr_1_pos_(22.0, 33.0)	pct_120_ncorr_1_pos_(22.0, 33.0)
	1	2
ctr	0.00041331	0.00048672
sn	NaN	NaN
flux	4.56923885	5.38074648
	pct_120_ncorr_2_pos_(22.0, 33.0)	pct_120_ncorr_2_pos_(22.0, 33.0)
	1	2
ctr	0.00040295	0.00042149
sn	NaN	NaN
flux	4.45469524	4.65963699
	pct_60_ncomp_1_pos_(22.0, 33.0)	pct_60_ncomp_1_pos_(22.0, 33.0)
	1	2
ctr	0.00038381	0.00035103
sn	NaN	NaN
flux	4.24311394	3.88068108
	pct_60_ncomp_2_pos_(22.0, 33.0)	pct_60_ncomp_2_pos_(22.0, 33.0)
	1	2
ctr	0.00038515	0.00034198
sn	NaN	NaN
flux	4.25790824	3.78066888
	pct_120_ncomp_1_pos_(22.0, 33.0)	pct_120_ncomp_1_pos_(22.0, 33.0)
	1	2
ctr	0.00041331	0.00040295
sn	NaN	NaN
flux	4.56923885	4.45469524
	pct_120_ncomp_2_pos_(22.0, 33.0)	pct_120_ncomp_2_pos_(22.0, 33.0)
	1	2
ctr	0.00048672	0.00042149
sn	NaN	NaN
flux	5.38074648	4.65963699
	ncorr_1_ncomp_1_pos_(22.0, 33.0)	ncorr_1_ncomp_1_pos_(22.0, 33.0)
	60	120
ctr	0.00038381	0.00041331
sn	NaN	NaN
flux	4.24311394	4.56923885
	ncorr_1_ncomp_2_pos_(22.0, 33.0)	ncorr_1_ncomp_2_pos_(22.0, 33.0)
	60	120
ctr	0.00038515	0.00048672
sn	NaN	NaN
flux	4.25790824	5.38074648
	ncorr_2_ncomp_1_pos_(22.0, 33.0)	ncorr_2_ncomp_1_pos_(22.0, 33.0)
	60	120
ctr	0.00035103	0.00040295
sn	NaN	NaN
flux	3.88068108	4.45469524
	ncorr_2_ncomp_2_pos_(22.0, 33.0)	ncorr_2_ncomp_2_pos_(22.0, 33.0)
	60	120
ctr	0.00034198	0.00042149
sn	NaN	NaN
flux	3.78066888	4.65963699
	pct_60_ncorr_1_pos_(22.0, 33.0)	pct_60_ncorr_1_pos_(22.0, 33.0)
	1	2
ctr	0.00049744	0.00049918
sn	NaN	NaN
flux	4.24311394	4.25790824
	pct_60_ncorr_2_pos_(22.0, 33.0)	pct_60_ncorr_2_pos_(22.0, 33.0)
	1	2
ctr	0.00045495	0.00044323
sn	NaN	NaN
flux	3.88068108	3.78066888
	pct_120_ncorr_1_pos_(22.0, 33.0)	pct_120_ncorr_1_pos_(22.0, 33.0)
	1	2
ctr	0.00053568	0.00063081
sn	NaN	NaN
flux	4.56923885	5.38074648
	pct_120_ncorr_2_pos_(22.0, 33.0)	pct_120_ncorr_2_pos_(22.0, 33.0)
	1	2
ctr	0.00052225	0.00054627
sn	NaN	NaN
flux	4.45469524	4.65963699
	pct_60_ncomp_1_pos_(22.0, 33.0)	pct_60_ncomp_1_pos_(22.0, 33.0)
	1	2
ctr	0.00049744	0.00045495
sn	NaN	NaN
flux	4.24311394	3.88068108
	pct_60_ncomp_2_pos_(22.0, 33.0)	pct_60_ncomp_2_pos_(22.0, 33.0)
	1	2
